ID,types_of_loan,bank_name,interest_rate,processing_fee_range,loan_amount,tenure_range
1,Education Loan,HSBC,upto 4%,Up to 3.50%,Up to BDT25L,Up to 5 Years
2,Education Loan,Dutch-Bangla Bank,upto 2%,3.00% - 6.00%,Up to BDT25L,1 - 4 Years
3,Education Loan,Sonali Bank,upto 4%,Up to 3.50%,Up to BDT25L,1 - 4 Years
4,Education Loan,IBBL,upto 2%,Up to 3%,Up to BDT25L,1 - 6 Years
5,Education Loan,Grameen Bank,upto 4%,Up to 2.50%,Up to BDT25L,1 - 6 Years
6,Education Loan,Janata Bank,upto 2%,Up to 2.50%,Up to BDT25L,1 - 4 Years
7,Education Loan,Standard Chartered,upto 4%,Up to 2.75%,Up to BDT25L,Up to 5 Years
8,Education Loan,Prime Bank,upto 2%,Up to 2.00%,Up to BDT25L,1 - 6 Years
9,Education Loan,Habib Bank Limited,upto 4%,Up to 2.00%,Up to BDT25L,1 - 6 Years
10,Education Loan,Brac Bank,upto 2%,Up to 2%,Up to BDT25L,1 - 4 Years
11,Education Loan,UCB Bank,upto 4%,2.00% - 3.00%,Up to BDT25L,1 - 6 Years
12,Education Loan,City Bank,upto 2%,2.00% - 5.00%,Up to BDT25L,1 - 4 Years
13,Education Loan,Mutual Trust,upto 2%,Up to 2.5%,Up to BDT25L,Up to 5 Years
14,Education Loan,Jamuna Bank,upto 4%,Up to 1%,Up to BDT25L,1 - 6 Years
15,Education Loan,Eastern Bank,upto 2%,0.75% onwards,Up to BDT25L,1 - 4 Years
16,Education Loan,Dhaka Bank,upto 2%,0.50% - 3.00%,Up to BDT25L,1 - 6 Years
17,Education Loan,Uttara Bank,upto 4%,Zero,Up to BDT25L,Up to 5 Years
18,Home Loan,HSBC,6.70% - 7.50%,Up to 3.50%,5L -10Cr,Up to 5 Years
19,Home Loan,Dutch-Bangla Bank,6.90% - 8.05%,3.00% - 6.00%,5L -10Cr,1 - 4 Years
20,Home Loan,Sonali Bank,6.70% - 7.50%,Up to 3.50%,30L - 5Crs,1 - 4 Years
21,Home Loan,IBBL,9% – 12.50%,3.00%,30L - 5Crs,1 - 6 Years
22,Home Loan,Grameen Bank,6.70% - 7.50%,Up to 2.50%,5L -10Cr,1 - 6 Years
23,Home Loan,Janata Bank,9% – 12.50%,Up to 2.50%,30L - 5Crs,1 - 4 Years
24,Home Loan,Standard Chartered,6.90% - 8.05%,Up to 2.75%,30L - 5Crs,Up to 5 Years
25,Home Loan,Prime Bank,6.70% - 7.50%,Up to 2.00%,5L -10Cr,1 - 6 Years
26,Home Loan,Habib Bank Limited,9% – 12.50%,Up to 2.00%,30L - 5Crs,1 - 6 Years
27,Home Loan,Brac Bank,6.90% - 8.05%,2.00%,30L - 5Crs,1 - 4 Years
28,Home Loan,UCB Bank,6.70% - 7.50%,2.00% - 3.00%,5L -10Cr,1 - 6 Years
29,Home Loan,City Bank,9% – 12.50%,2.00% - 5.00%,30L - 5Crs,1 - 4 Years
30,Home Loan,Mutual Trust,6.70% - 7.50%,2.50%,30L - 5Crs,Up to 5 Years
31,Home Loan,Jamuna Bank,9% – 12.50%,1.00%,30L - 5Crs,1 - 6 Years
32,Home Loan,Eastern Bank,6.90% - 8.05%,0.75% onwards,5L -10Cr,1 - 4 Years
33,Home Loan,Dhaka Bank,6.70% - 7.50%,0.50% - 3.00%,30L - 5Crs,1 - 6 Years
34,Home Loan,Uttara Bank,9% – 12.50%,Zero,5L -10Cr,Up to 5 Years
35,Car Loan,HSBC,6.70% - 7.50%,Up to 3.50%,upto 3 cr,Up to 5 Years
36,Car Loan,Dutch-Bangla Bank,6.90% - 8.05%,3.00% - 6.00%,upto 3 cr,1 - 4 Years
37,Car Loan,Sonali Bank,6.70% - 7.50%,Up to 3.50%,upto 3 cr,1 - 4 Years
38,Car Loan,IBBL,9% – 12.50%,3.00%,upto 3 cr,1 - 6 Years
39,Car Loan,Grameen Bank,6.70% - 7.50%,Up to 2.50%,30L - 5Crs,1 - 6 Years
40,Car Loan,Janata Bank,9% – 12.50%,Up to 2.50%,upto 3 cr,1 - 4 Years
41,Car Loan,Standard Chartered,6.90% - 8.05%,Up to 2.75%,upto 3 cr,Up to 5 Years
42,Car Loan,Prime Bank,6.70% - 7.50%,Up to 2.00%,30L - 5Crs,1 - 6 Years
43,Car Loan,Habib Bank Limited,9% – 12.50%,Up to 2.00%,upto 1 cr,1 - 6 Years
44,Car Loan,Brac Bank,6.90% - 8.05%,2.00%,upto 3 cr,1 - 4 Years
45,Car Loan,UCB Bank,6.70% - 7.50%,2.00% - 3.00%,30L - 5Crs,1 - 6 Years
46,Car Loan,City Bank,9% – 12.50%,2.00% - 5.00%,30L - 5Crs,1 - 4 Years
47,Car Loan,Mutual Trust,6.70% - 7.50%,2.50%,30L - 2cr,Up to 5 Years
48,Car Loan,Jamuna Bank,9% – 12.50%,1.00%,upto 3 cr,1 - 6 Years
49,Car Loan,Eastern Bank,6.90% - 8.05%,0.75% onwards,30L - 5Crs,1 - 4 Years
50,Car Loan,Dhaka Bank,6.70% - 7.50%,0.50% - 3.00%,upto 3 cr,1 - 6 Years
